,review
80,one best tea hous tata beauti tea good tast flavour actual appropri mixtur ctc leaf tea order product amazon deliv next day good packag got discount price got product discount price bought product super valu day manufactur date product half month ago date receiv product hand henc recent manufactur product also product good shelf life amazon deliv product good condit packag product awesom damag amaz amazon pantri box hard packag insert air fill seal packet item move pressur absorb air fill packet deliveri order next day morn deliveri man took packag insid hous heavi kept pantri box tabl told behavior deliveri man good highli satisfi product recommend buy product without fear hesit believ satisfi receiv product use
81,recent visit rel dubai tast societi masala tea st time simpli love found real ingredi like cinnamon cardamom ginger etc written box order tea india got back shock see real ingredi box say ad flovor disgust find sold india export abroad total differ wish could return tea unfortun amazon accept return food item
82,oili acn prone skin use product day acn dri see signific improv dark spot yet fragranc mild brilliant continu use help acn tip peopl acn skin keep scalp clean chang pillow sheet realli help
83,seem duplic product fragranc fade day use amazon author pleas check supplier product think can not return item hv open packet buyer sure product without use item think fit case file consum forum buyer buy product sunil
84,might think would buy refil instead new bottl save money even reduc plastic use howev buy refil origin dettol handwash soon refil bottl start use notic first color lighter notic lighter notic scent faint compar origin one bottl ignor time like cant picki two day later notic skin peel like never use handwash long time never happen even risk givin pack away someon free aw end dustbin
85,qualiti excel hubbi like much gift birth day thank amazon give good product n satisfi seller n buyer way
86,great tast rock
87,first impress lather poorli like appli lotion wash well lack foam necessarili mean clean skin second impress wash mmm skin feel better tri use againfin impress use good realli moistur skin perfect dri skin special harsh winter dri sensit skin need good moisturis skin care routin special winter month sensit skin agre random product bought shelf tri ml tube herbal like realli moistur dri skin bought ml pack amazon remov star though outlet big gener amount plop singl pump end finish way faster compar face wash ml tube gener outlet
88,use
89,amaz flavour search shop covid period could find one market decid buy amazon happi
90,simpli awesom spaciou look good issu think get well go
91,smell like strong chemic pleasant smell review say use nappi wash babi thing happen get orang colour share dress bad smell think dettol smell bad horribl need buy product made indian compani may see pattern posit comment get trick
92,itz lyk mysor sandal mysor sandal come day kid bath soap come one month usag valu money
93,product defect front keypad panel sit properli immedi observ receiv open product defect report amazon arrang replac inform amazon check confirm product resent defect order
94,use tea last year get product bangalor easi sometim avaialbl happi get product amazon tea flavour good societi tea fine tea get proper flavour boil water well add milk sometim use tea decoct hair condit also pure
95,excel product
96,great
97,product arriv kind dirti product expiri date smudg tast horribl
98,use gel night cream quit happi make beauti queen overnight moistur skin non intrus way that need impact short time would natur good replenish especi summer thing think improv chang packag use bit high qualiti one cap quit sharp open close hurt oper care secondli tube usual habitu keep tube invert cap take gel open cap hard cap thick gel work conjunct open jerk throw gel around wast well mess thing around time open cap cap top invert tube take learnt mess much care patanjali sure need work packag front gel
99,initi thought face wash wast money lather use month anyway start notic lot differ skin made skin soft n dri patch face reduc dri skin rather hydrat skin along clean best face wash peopl sensit n dri skin
100,like maaza drink maaza lot thick mango juic pour glass drink
101,best biscuit choic earli morn coffe tea snack companion sinc high fiber even help lot provid relief constip problem due prior poor diet choic took least week time see signific chang happi would definit recommend biscuit peopl suffer kind ailment food choic instead medic
102,amazon send packag safe happi servic shampoo suitabl adult order btw u believ horribl result actual order decreas hair fall use time hair fall increas horribl hair becam sticki explain never use shampoo wast money
103,nice
104,smell last week also strong first day one make presenc product
105,good product
106,tea realli good tast better wagh bakri premium tea grain size much smaller leav lot dust bottom contain bit annoy everi time finish contain lot tea wast form dust
107,start safe arriv low batteri messag mean could anyth els go get new batteri brand new item get thing order safe work well serv purpos howev manual provid obsolet instruct match product solut post onlin either want program safe figur custom servic personnel help either kept tri forc get technician come hous cost rs program devic complet defeat purpos onlin shop fall rather ridicul big brand like godrej case anyon els need program home code abl hope work instruct indic press actual mean lock instruct indic tri press clear everi time press got error messag go step list chang person code home mode need access program pg code mean differ featur program go step chang number suit get last digit instruct written book figur last digit chang go program chang last number abl go back chang person code home mode set password lock go back program chang last digit back origin good luck
108,nice smell scent bath soap cinthol scent linger even wash leav bathroom also smell great besid job clean full point thing somewhat misguid order smaller pack need larger one
109,superb love day start use work like charm skin soft new born babi receiv load compliment day day thank much himalaya herbal big thank amazon love pack packag product well time deliveri found review help pleas click help let know divin thank bless
110,strap could better
111,good tast feel rich aroma refresh tast sever brand found tea premium flavor look buy societi premium tea move forward
112,brand britannia thing introduc biscuit qualiti
113,total satisfi product valu money manufactur date august order octob got fresh product total satisfi
114,face wash amaz guy oili skin everi face break first time use within wash pimpl gone jock guy face wash wonder use two time daili wake morn go bed use two month singl pimpl past two month everi oili skin acn prone beauti recommend facewash
115,read mani great review eagerli wait face wash open tube half empti disappoint
116,tea test tast tea companion sinc mani decad littl bit adrak pudina leav one littl pinch powder cardamon stick add milk separ heat see differ heavenli tire day though addict tea found particular tea much enjoy light thank
117,whilst initi cream thick subsequ content start thin thick milk like guess come tin like oversea product might better consist sure thant would higher price
118,fantast product whole famili fond product use age nutramul period
119,size powder bottl differ serious doubt origin duplic smell powder also slightli differ check product bought himalaya shop differ
120,see pack present packag one get posit vibe expect lot regular tea ala much agni noth use good quantiti prepar good tea
121,feel artifici
122,absolut perfum blue colour transpar shown cinthol ad total wast
123,protect love one viru like covid dettol disinfect liquid one best solut although scentless use laundri sanit disinfect anyth come human contact
124,godrej one soap abl balanc essenti tick point common bath soap viz pleasant fragranc good lather soft skin use delhi winter soap lead skin dri godrej leav skin soft moistur econom person love lime fragranc one good boil individu prefer irrespect fragranc disappoint highli recommend find review use pleas press help button thank
125,reciev broken bottl cap bad packag seller plz check imag attach got himalaya product doubt good nice mild fragranc prefer himalaya brand special babi babi wash himalaya tri wash face n actual tear babi wash unlik claim tear irrit eye
126,steel good qualiti batteri awesom strap genuin leather waterproof strap pleas avoid water may damag long time leather
127,happi product winter time also give best result son ye malish bath night day bath pure cow ghee along termar powder bath gentli use lotion use lotion powder start order two one son anoth cousin child
128,great deal good packag packag impress word short defin thank amazon
129,good
130,first time buy talc okay mysor sandal still sure scent longev essenc also minimum buy fair also discount even sale time well amazon cloudtail india mysor sandal done good job believ genuin product
131,steel good qualiti batteri awesom strap genuin leather waterproof strap pleas avoid water may damag long time leather
132,initi thought face wash wast money lather use month anyway start notic lot differ skin made skin soft n dri patch face reduc dri skin rather hydrat skin along clean best face wash peopl sensit n dri skin
133,mai watch delivr kiya hu watch mujh samjh mai nhi aa rha h ki ye watch ka real color kya hai esliy mai confus hu pllzz orignl color watch send number
134,nice flavor melt easili perfect slice make pizza
135,perfect travel lazi peopl thing u need take hot water mix powder awesom masala tea readi make sure u follow instruct mix right proport instruct must u travel u live without good tea
136,bought godrej goldilock amazon diwali sale product got scratch alreadi still kept want disabl theft alarm give loud sound even move goldilock slightli annoy tri disabl featur get disabl godrej execut also told problem pcb return product got product replac amazon next day new product also problem can not disabl alarm also one addit problem close lid sometim get lock attempt get lock confus trust godrej brand amazon satisfact level
137,damag product found seal broken differ quantiti bottl
138,mom peculiar cosmet use babi alway tri use non chemic base cosmet babi tri call big foreign brand result averag last tri himalaya babi shampoo result astonish thr natur oil babi hair abck normal hair soft hardli itch eye must buy product thr mom love babi product
139,use hair actual good time u r troubl ur hair nothingsuit ur hair fall soit better use someth mild babi shampoo give shine make ur hair soft dont reli shampoo remov oil ur hair way mild
140,good
141,think one best product use freshen ur mood better odonil counterpart scent spread evenli go
142,nice steel
143,amaz fragranc
144,nice gift pack pack good
145,mamaearth ubtan natur face wash one best product mama earthand suit everi skin type help remov sign tan liquoric help repair sun damag caus exposur harsh ray sun turmer light skin tone improv skin complect one best face wash smell also nice
146,dettol doubt good brand disinfect liquid compar dettol origin lime fragranc give fresh feel use use floor kitchen tile bathroom laundri shave purpos use disinfect liquid water covid pandem wash product spray door door bell surfac etc use bath purpos also multi purpos cleaner safe skin surfac nice way disinfect home
147,long time search indian soap equal usa ivori soap soap get holiday inn hotel thank cinthol
148,whilst initi cream thick subsequ content start thin thick milk like guess come tin like oversea product might better consist sure thant would higher price
149,free tiffin box provis mention pack expect
150,hold buy shampoo kid b c even natur shampoo ton chemic caus dandruff hair shampoo wonder gentl smell good scalp irrit good sensit skin good product amazon
151,honestli use regular brown colour antisept liquid love thought buy lemon scent liquid hope much good last one saw much sticki liquid add water goe like invis dissapoint last one brown better one thumb buy dont go review purchas review u regret u use scent thick realli dont buy dont wast ur money lemon buy brown liquid
152,good
153,watch good look return itbecaus tab ee adjust time loos get press movement watch stop work return
154,receiv product damag condit come return categori sinc seal broken use product
155,good buy good product best tooti frooti bought till
156,genuin standard watch colleg graduat date someon interview suit scenario bought amazon return later get better deal watch still even month fail impress must buy guy watch collect
157,paper boat juic excel poor avail amazon packet receiv total damag
158,steel good qualiti batteri awesom strap genuin leather waterproof strap pleas avoid water may damag long time leather
159,realli start appreci brand product made realli work well best part made safe ingredi babi soap enrich good goat milk oatmeal shea butter coconut base cleanser skin toddler feel soft bath shape soap perfect littl one hold well tear formula soap work great gentl skin fragranc amaz highli recommend moistur bath mommi daddi special recommend toddler phase want independ bath
160,nice product easi use gud colout
161,undoubtedli best cow milk ever tast milk carton creami delici
162,product worst use duplic ghee parcel mix mani thing ghee threw outsid hate
163,product good small wrist girl big wrist dail color good see product think order brown color dail model give watch sister like watch one want buy u go brown color although favorit color pink also trust brown good compar pink saw friend wear watch brown color realli good compar pink
164,good skin hair realli appreci suffer minor skin infect pimpl acn hair fall problem go
165,order patangali leter pouch correct weight anoth less waight
166,thank amazon recommend engin suggest mysor sandal talc never knew mysor sandal brand talc purchas mysor sandal soap week back perhap due purchas amazon would recommend well glad click suggest bought one good bye exist pond sandalwood talc review compar mysor sandal talc vi vi pond sandalwood talcpro fragranc first thing hit soon open bottl smell pure authent sandal wood perfum pond talc powder mysor sandal talc allow decid size hole want bottl pond one forc hole soon want top cover alway hate pond talc pond realli want use need fragranc last longer pond sandalwood talc even though day believ tri one judg review talk powder fine powder noth like powder fine pond sandalwood talc less bottl seal hologram sticker assur genuin product mysor sandal somehow like press fit top bottl keep fragranc intact bottl use pond bottl twist close top realli seal tight way shut close bottl last least mysor sandal talc cheaper pond sandalwood earth would ever buy pond con none spot yet
167,realli durabl product good valu money got basket broken made complain sinc non return product refund money amazon pay gave product time wast solv problem okay
168,best instant teaoutstand tast masala tea
169,nice flavour
170,person feedback per prefer bought watch along chap watch found overal look function chap better one dial look much attract look feel bulki big also big bezel steal away look although overal qualiti superb doubt watch titan decid urself attach coupl pictur justifi feedback
171,receiv product safe n intact first time receiv old date product tea powder month older ketchup also month older ketchup use within month kg order sir order purchas tata tea powder two month ago product receiv mfg date receiv mfg productsloos faith groceri order
172,mainli use spray bug n spider hous mix water vinegar sometim bath wash babi cloth safe hand overal use product
173,like soap realli good
174,way best love scent
175,best qualiti tea daili use cheap rate fast next day deliveri amazon pantri
176,
177,return replaceadd tex
178,nice innov product reckitt benckis amazon deserv thank avail local medicin shop complain strong origin dettol antisept liquid compar appl orang scent dettol disinfect liquid ideal bath impart fresh wash cloth
179,gift dad love watch
180,though pricey qualiti come price free chemic healthi option skin give result acn prone face day cleans face well quantiti requir also less b face wash year come
181,got deliveri day thank amazon realli appreci talk watch worth everi penni although littl heavi look killer go bought famili member like come year warranti pretti good
182,reciev broken bottl cap bad packag seller plz check imag attach got himalaya product doubt good nice mild fragranc prefer himalaya brand special babi babi wash himalaya tri wash face n actual tear babi wash unlik claim tear irrit eye
183,box seem good alarm set minut minut written discript indic know four uv light work properli case light work get know
184,nice fragranc comfort use best price
185,happi whit prdodct orang glocondi favour
186,gidrej product alway trustabl cool fresh
187,cintol year premium soap moistur etc good sent soap last long sometim feel long use
188,said water resist even resist ft deep water polish leather strap went littl amount water enter watch everyday becom vapour block view can not check time properli fastrack someth
189,well much month old almost teeth brush product good start eat tast rather babi way natur tast good appli bit teeth thn forgot kept buy satisfact babi realli small understand brush spit eat go
190,ok
191,edit review experi product disappoint qualiti lower regular soap skin type recommend buy worth money clean face water scam bought product watch fit youtubb channel wast money say go product say natur big scam work come expens use home remedi regular market product
192,cream good qualiti see fat percentag choos cream type cook need good everyday use tip ensur last mire day keep right front fridg cool vent help last week freez help chang tast textur
193,best health drink whole famili amul pro health drink avail market econom price tag made india amul
194,nice product govt made product qualiti genuin stain left skin use wherea pond sandal wood powder leav stucki white stain mark fragranc also long last
195,good
196,good one date wrongli repres
197,stay bangalor snd use product coupl occass amaz stand well avail soap marketlook tje expwrienc decid gift ghe soap rel product deliv fake lump cake smell offcours way close origin soaprel shi enough admit experi late wise could hav return producthpp amazon take action
198,nice product
199,got expir pack
200,bought came search vegan lotion howev continu buy lightweight quickli absorb live desert impress much hydrat skin thank amazon
201,receiv damag product case scratch multipl place part loos look like duplic box iron paint set godrej tag sent us highli dissatisfi product qualiti
202,titen watch good ladher belt qualiti poor length short ladher belt crack month
203,good product still expens love smell help frizi hair hair get less tangl
204,go brand like dettol seal better prefer one first time usag particular product type dettol sure whether seal manufacutur would recommend seal manufactur directli depand satisfact
205,reason declin purchas light thief easili take open sweet time therefor declin purchas
206,think one best product use freshen ur mood better odonil counterpart scent spread evenli go
207,tasti drink
208,love digit safe locker put import stuff insid box good thing bulki materi also good seem strong heavi easi instal mount fix put insid almera feel safer keep cash passport valuabl stuff lookwis also classi touch proper color led display work batteri power consumpt low set passcod digit like beep sound whenev press key addit also emerg key overal calm ever sinc digit safe arriv cours manag thing peac mind accord need earlier never ever use kind digit safe start use found exactli expect truli big valu money would highli recommend product everyon read review greet pleas click help button like review thank
209,see pack present packag one get posit vibe expect lot regular tea ala much agni noth use good quantiti prepar good tea
210,good
211,use second time good
212,daughter love drink tast delici n healthi
213,great tast regularli eat nice time biscuit got free deliveri amazon prime
214,quick easi make tasti
215,dettol alway best new disinfect cleanser good clean household thing divid bottl three part add water make liter spray holder bottl spray thing come thru deliveri household good cours door handl like moreov pack two valu money
216,take tata gold tea sinc two decad tri mani cheap expens product tata gold non replac new golden color pack attract
217,product look tast genuin thank amazon deliv product earli connect custom care execut facilit dispatch
218,product smell similar navarathna hair oil strong oil sticki appli three drop oil review usag month worst product hair fall increas lot brought product watch youtub influenc mumbaik nikhil total misguid never take suggest influenc use sinc month result lose hair mama earth wast money well damag hair better provid solut return money
219,look like spoil duplic product pack date th may product expir one
220,amul panner good found nandini kmf panner goid tasti
221,one best budget analog watch belt rs segment watch impress one excel look good build qualiti good strap design color perfect fit big black dial radium light glow function overal trust product buy cheer
222,see product genuin latest mfgit well pack tooth grivianc even prime member receiv product week hope amazon consid next time
223,
224,contain ammonia guyz danger bought use one day one next day morn face swell skin smooth glow numer side effect sell product peopl health could complet damag
225,tasti tea natur flovour
226,look good stylish worthi
227,product good mrp packet wherea amazon show correct
228,good
229,thank chang timer
230,best instant teaoutstand tast masala tea
231,would like give five star realli amaz work wrinkl use third bottl appli wrinkl go sleep appli littl thicker see amaz result worri wrinkl go got rs
232,strong take less time brew good tast
233,good bt last day everi month show incorrect date
234,nice soap good fragranc
235,toooooo love cute amaz choooooo chweeeeet pretti got rs amazon pay cash back discount
236,show onion oil benefit ad ate give onion oil product bought redensyl content sure percentag bein ad secondli onion extract sure effect switchin back convent method makin onion juic applyin scalp
237,awesom need work soap dish pathet design water stay soap get stuck itapart weirdli pathet innov cheap soap dishth soap awesom amazingclass apart
238,reason declin purchas light thief easili take open sweet time therefor declin purchas
239,happi buy product amazon origin qualiti product design order
240,dettol doubt authent product dettol liquid total differ origin antisept liquid smell strong like antisept liquid lime fresh aroma make thik product attract pandam situat product valu money product got product rs print price rs deliveri littl bit slow issu final would like say thank amazon whole entir team great job us situat hat
241,may suit everyon may high expect skin acn prone smooth skin use start use sake extra glow turn opposit use day n stop got small white acn forehead n nose u check pictur n worri got small white patch eye rd day horrifi n use recommend everyon wast buck
242,look good disinfect spray toddler keep safe flu viru realli tough brows dettol caught eye without second thought got mild scent realli easi use evapor second save time use go especi public toilet conveni travel friendli definit recommend
243,amazon send packag safe happi servic shampoo suitabl adult order btw u believ horribl result actual order decreas hair fall use time hair fall increas horribl hair becam sticki explain never use shampoo wast money
244,use product yr product receiv diffrent smell consist doubt origin product ml usual ml
245,soap suit face tri soap face becom pimpl face mysor gold but quit expens soap discount need think compani price lol
246,soap suit face tri soap face becom pimpl face mysor gold but quit expens soap discount need think compani price lol
247,product awsom purchas month work smoothli till watch got littl damag within monthli unfortun product work well simpl damag until thank god thank amazon good product
248,first thought great valu low price use realis fake one guy product dilut better give money buy real product rather save money get fake one
249,may suit everyon may high expect skin acn prone smooth skin use start use sake extra glow turn opposit use day n stop got small white acn forehead n nose u check pictur n worri got small white patch eye rd day horrifi n use recommend everyon wast buck
250,use product first time much satisfi multi purpos disinfect spray kill bacteria virus elimin odour caus bacteria use product bedroom toilet kitchen mattress etc recommend product hygien also give pleasant fragranc everi use
251,perfect travel lazi peopl thing u need take hot water mix powder awesom masala tea readi make sure u follow instruct mix right proport instruct must u travel u live without good tea
252,himalaya babycar babi lotion special formul restor skin natur beauti great product enrich almond oil restor skin moistur oliv oil improv skin luster yashtimadhu countri mallow sooth skin contain herbal activ perfect babi skin highli recommend
253,mysor sandal best talc ever market long last fragranc increas bodi charm pure natur sandalwood talc also econom talc compromis qualiti go
254,today l receiv packag good condit l open found first soap packet open condit soap soap case
255,cheat broad day light bought biscuit see mrp rs discount may think combo pack grm packet
256,one standard biscuit previou gener noth much write though buy eat better understand ting ting ti ting
257,tast good got good tast juic consumpt good practic health
258,dettol soap nice contain antibacteri properti antisept properti kill bacteria dettol soap avail mani fragranc nice use take bath dettol soap skin feel refresh dettol sop especi made kile bacteria present skin also use handwash dettol soap dettol hand wash also nice recommend everi bodi use dettol soap good contain nice fragranc thank read review hope may help make best choic
259,realli amaz product budget
260,product seal pack order twice time came open qualiti compromis
261,big name duplic product bad smell bad tast bad pack zero valu moneyworst ghee purchas worst refinedpruduct must sild amazon
262,use product past day honest review product pro look best lean hand stylish wrist band unisex ole screen look awesom heartrat sensor indian tata productcon silenc mute incom call
263,mom peculiar cosmet use babi alway tri use non chemic base cosmet babi tri call big foreign brand result averag last tri himalaya babi shampoo result astonish thr natur oil babi hair abck normal hair soft hardli itch eye must buy product thr mom love babi product
264,scent feel hand wash seem differ earlier one use brand purechas amazon dealer sinc last six month impress first use inferior genuin product came cloudtrail doubt still someth wrong suppli
265,nightmar trust stuck everi direct written leaflet almost hour blonder shampoo color shampoo routin entir hair turn orang funki orang badli done henna orang know mean tri blue green blond hair color previous semi perman perman never think safe color like cappucino brown turn disast order anoth color cover mess frantic search scarf andhat right
266,ok
267,even report amazon product sell mrp price updat product good
268,regular consum brand tea time bought amazon pantri tea leav fine coars colour great even littl amount tea leav flavour aroma perfect manufactur date recent sinc come zip lock bag easi keep fresh intact like
269,nice product
270,need one cup tea lazi go whole rigmarol product lifesav heat water option add milk richer tast cup microwav drop heap scoop premix voila tea readi utensil wash ga need tea leav throw tea filter clean decent tast full mark conveni must kitchen
271,perfect good condit although plastic box crack watch origin work fine
272,fastrack men watch beyond everi one expact famou supplier cloud tail us name mean assur fulli satisfi usual amazon plan buy product doubt go
273,product look show pictur total disappoint deliveri servic took day deliv address damag condit would like replac done within short time
